latitude,longitude
-0.316878,-63.559047
-78.62793,-4.770134
-10.73271,88.766066
-68.311474,-121.950194
-89.983375,-101.072188
70.788804,10.827096
-48.082506,58.979263
3.672848,141.738916
-75.682505,-68.390333
37.222706,161.324963
47.052124,-70.181299
68.182687,-34.79929
-88.396516,139.759284
10.324367,135.328967
34.04261,140.56951
-37.131811,176.337366
30.353305,-156.471269
6.140199,28.792902
-45.805882,76.077957
69.568883,-158.379316
85.460683,2.42496
-43.143197,35.550025
-87.965186,-65.333054
54.711305,162.010183
-66.605245,114.776418
70.090335,175.879598
10.415938,157.064058
-62.76514,52.333965
-47.863742,136.86244
43.075901,-170.327784
50.727883,42.689419
57.447861,-133.07347
-41.378104,-164.592279
-12.904127,-101.802677
-82.253751,-27.93576
86.80887,83.128328
-59.124258,-6.080243
-57.090687,-84.254481
78.463595,152.610348
13.77545,-50.98309
21.882199,-26.543131
-47.497128,12.391165
-88.41693,-58.089892
-35.388727,-27.287199
86.29001,108.413062
-44.436367,22.971045
-65.762192,-148.651356
30.478947,-174.97546
-12.641105,-115.914883
-65.699569,5.373543
34.60217,30.315731
12.029264,-109.800966
-51.261499,23.819476
40.950562,96.230138
-43.042848,57.534166
-47.47822,106.391551
86.561229,172.499417
40.192271,-148.324252
61.26507,88.231999
-36.894324,-75.372328
-29.762585,-85.488428
-28.038439,-53.667924
-26.575489,81.425236
46.706777,-59.500187
28.098734,113.275021
20.462418,-151.653819
55.879446,-87.510146
-66.362012,-108.286886
84.829423,-85.364419
-76.229917,15.319523
-8.911171,-49.7875
11.511695,-61.802936
-3.146986,-138.423368
78.973213,0.731664
21.487779,113.547236
50.513519,-82.048037
3.733808,24.247731
58.796143,-11.929219
-22.794115,151.325068
-32.397358,-119.223256
84.818704,-174.578318
-48.76164,25.180159
31.217725,111.792088
55.777704,11.845725
8.488203,-132.448383
-42.231016,25.773977
-68.490786,21.002201
-48.782875,157.111391
-23.96382,-132.279102
-46.131264,-163.242707
72.499232,61.707094
64.682354,87.945582
40.009254,84.455967
86.651986,151.628584
21.786061,-133.281007
62.185624,-156.883021
19.391325,62.403412
-62.252898,40.459753
82.943833,109.492795
-88.662609,163.711656
